Название,Цена (KZT)
"Натрия хлорид 0,9%, 200 мл, фл","308,00"
"Борный спирт 3%, 20 мл, фл.","51,00"
"Шприц 2 мл, 3-х комп. (Bioject)","32,00"
Система для инфузии Vogt Medical,"120,00"
Naturella прокладки Классик макси №8,"310,00"
AURA Ватные диски №150,"461,00"
Чистая линия скраб мягкий 50 мл,"381,00"
Чистая линия  скраб очищающийабрикос 50 мл,"386,00"
Чистая линия скраб мягкий 50 мл,"381,00"
Carefree салфетки Алоэвоздухопроницаемые №20,"414,00"
Pro Series Шампунь яркий цвет 500мл,"841,00"
Pro Series бальзам-ополаскивательдля длител ухода за окрашеннымиволосами Яркий цвет 500мл,"841,00"
Clear шампунь Актив спорт 2в1мужской  400 мл,"1 200,00"
"Bio World (HYDRO THERAPY)Мицеллярная вода 5в1, 445мл","1 152,00"
"Bio World (HYDRO THERAPY) Гель-муссдля умывания с гиалуроновойкислотой, 250мл","1 152,00"
"[RX]-Натрия хлорид 0,9%, 100 мл, фл.","168,00"
"[RX]-Дисоль р-р 400 мл, фл.","163,00"
"Тагансорбент с иономи серебра №30,пор.","1 526,00"
"[RX]-Церукал 2%, 2 мл, №10, амп.","792,00"
"[RX]-Андазол 200 мг, №40, табл.","7 330,00"
